Code,Name,Cancel,LateReport,AutoExecuted,OpenReport,Volume,High,Low,Last,Description  
83,MID_BID_ASK_PRICE,false,false,false,false,true,true,true,true,A price halfway between the bid and ask on LME.
84,END_SESSION_HIGH,false,false,false,false,false,true,false,false,End of Session High Price.
85,END_SESSION_LOW,false,false,false,false,false,false,true,false,End of Session Low Price.
86,BACKWARDATION,false,false,false,false,true,true,true,true,A condition where the immediate delivery price is higher than the future delivery price. Opposite of Contango.
87,CONTANGO,false,false,false,false,true,true,true,true,A condition where the future delivery price is higher than the immediate delivery price. Opposite of Backwardation.
88,HOLIDAY,false,false,false,false,true,true,true,true,In Development
89,PRE_OPENING,false,false,false,false,true,false,false,false,The period of time prior to the market opening time (7:00 A.M. - 9:30 A.M.) during which orders are entered into the market for the Opening.
90,POST_FULL,false,false,false,false,false,false,false,false,false
91,POST_RESTRICTED,false,false,false,false,false,false,false,false,false
92,CLOSING_AUCTION,false,false,false,false,false,false,false,false,false
93,BATCH,false,false,false,false,false,false,false,false,false
94,TRADING,false,false,false,false,false,false,false,false,false
95,INTERMARKET_SWEEP,false,false,false,false,true,true,true,true,A trade resulting from an Intermarket Sweep Order Execution. For more information on intermarket sweeps, please see the SEC NMS regulation (June 29, 2005 - PDF).From that report:"The intermarket sweep exception enables trading centers that receive sweep orders to execute those orders immediately, without waiting for betterpriced quotations in other markets to be updated." 
96,DERIVATIVE,false,false,false,false,true,true,true,*,Derivatively priced. 
97,REOPENING,false,false,false,false,true,true,true,true,Market center re-opening prints. 
98,CLOSING,false,false,false,false,true,true,true,*,Market center closing prints. Can be used to get closing auction information for exchanges that report it, such as NYSE. 
99,CAPELECTION,false,false,false,false,true,true,true,false,CTA Docs 78, 110, 111, 113 & 136 Redefined: Existing code 'I' in the Sale Condition field to denote the following change in value: From - Cap Election Trade To - Odd Lot Trade. A trade resulting from an sweep execution where CAP orders were elected and executed outside the best bid or affer and appear as repeat trades. DEL 
100,SPOT_SETTLEMENT,false,false,false,false,true,true,true,true,false
101,BASIS_HIGH,false,false,false,false,true,true,true,false,false
102,BASIS_LOW,false,false,false,false,true,true,true,false,false
103,YIELD,false,false,false,false,false,false,false,false,Applies to bid and ask yield updates for Cantor Treasuries
104,PRICE_VARIATION,false,false,false,false,false,false,false,false,false
105,CONTINGENT_TRADE,false,false,false,false,true,false,false,false,Effective July 2015 ~ A Sale Condition used to identify a transaction where the execution of the transaction is contingent upon some event.SIAC Trader Update: February 25, 2015 (PDF) Previously: StockOption 
106,STOPPED_IM,false,false,false,false,true,true,true,false,Transaction order which was stopped at a price that did not constitute a Trade-Through on another market. Valid trade do not update last 
107,BENCHMARK,false,false,false,false,false,false,false,true,This condition will be assigned for Tapes A/B and UTP when no Trade Through Exempt reason is given, and the Trade Through Exempt indicator is set. For Tapes A/B and UTP, these trades are eligible to update O/H/L/L/V. For OPRA, these trades only update volume. 
108,TRADE_THRU_EXEMPT,false,false,false,false,false,false,false,false,false
109,IMPLIED,false,false,false,false,true,false,false,false,These trades are result of a spread trade. The exchange sends a leg price on each future for spread transactions. These trades do not update O/H/L/L but they update volume. We are now sending these spread trades for Globex exchanges: CME, NYMEX, COMEX, CBOT, MGE, KCBT and DME. 
110,OTC,false,false,false,false,false,false,false,false,false
111,MKT_SUPERVISION,false,false,false,false,false,false,false,false,false
112,RESERVED_77,false,false,false,false,false,false,false,false,false
113,RESERVED_91,false,false,false,false,false,false,false,false,false
114,CONTINGENT_UTP,false,false,false,false,false,false,false,false
115,ODD_LOT,false,false,false,false,true,false,false,false,This indicates any trade with size between 1-99.  
116,RESERVED_89,false,false,false,false,false,false,false,false,false
117,CORRECTED_CS_LAST,false,false,false,false,false,true,true,true,This allows for a mechanism to correct the official close on the consolidated tape.  
118,OPRA_EXT_HOURS,false,false,false,false,false,false,false,false,OPRA extended trading hours session. Equivalent to the OPRA "Session Indicator" with ASCII value of 'X' (Pre-Market extended hours trading session)(Obselete, see condition 148).  
119,RESERVED_78,false,false,false,false,false,false,false,false,false
120,RESERVED_81,false,false,false,false,false,false,false,false,false
121,RESERVED_84,false,false,false,false,false,false,false,false,false
122,RESERVED_878,false,false,false,false,false,false,false,false,false
123,RESERVED_90,false,false,false,false,false,false,false,false,false
124,QUALIFIED_CONTINGENT_TRADE,false,false,false,false,true,false,false,false,Effective July 2015 ~ A transaction consisting of two or more component orders, executed as agent or principal, that meets each of the following elements: At least one component order is for an NMS stock. All components are effected with a product or price contingency that either has been agreed to by the respective counterparties or arranged for by a broker-dealer as principal or agent. The execution of one component is contingent upon the execution of all other components at or near the same time. The specific relationship between the component orders (e.g. the spread between the prices of the component orders) is determined at the time the contingent order is placed. The component orders bear a derivative relationship to one another, represent different classes of shares of the same issuer, or involve the securities of participants in mergers or with intentions to
125,SINGLE_LEG_AUCTION_NON_ISO,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure period. Such auctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism.     
126,SINGLE_LEG_AUCTION_ISO,false,false,false,false,true,true,true,true,Transaction was the execution of an Intermarket Sweep electronic order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure period. Suchauctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism marked as ISO.     
127,SINGLE_LEG_CROSS_NON_ISO,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic order which was "stopped" at a price and traded in a two sided crossing mechanism that does not go through an exposure period. Such crossing mechanisms include and not limited to Customer to Customer Cross and QCC with a single option leg.     
128,SINGLE_LEG_CROSS_ISO,false,false,false,false,true,true,true,true,Transaction was the execution of an Intermarket Sweep electronic order which was "stopped" at a price and traded in a two sided crossing mechanism that does not go through an exposure period. Such crossing mechanisms include and not limited to Customer to Customer Cross.     
129,SINGLE_LEG_FLOOR_TRADE,false,false,false,false,true,true,true,true,Transaction represents a non-electronic trade executed on a trading floor. Execution of Paired and Non-Paired Auctions and Cross orders on an exchange floor are also included in this category.     
130,MULTI_LEG_AUTOELEC_TRADE,false,false,false,false,true,true,true,true,Transactionrepresents an electronic execution of a multi leg order traded in a complex order book.     
131,MULTI_LEG_AUCTION,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure period in a complex order book. Such auctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism.     
132,MULTI_LEG_CROSS,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg order which was "stopped" at a price and traded in a two sided crossing mechanism that does not go through an exposure period. Such crossing mechanisms include and not limited to Customer to Customer Cross and QCC with two or more options legs.
133,MULTI_LEG_FLOOR_TRADE,false,false,false,false,true,true,true,true,Transaction represents a non-electronic multi leg order trade executed against other multi-leg order(s) on a trading floor. Execution of Paired and Non-Paired Auctions and Cross orders on an exchange floor are also included in this category.   
134,ML_AUTO_ELEC_TRADE_AGSL,false,false,false,false,true,true,true,true,Transaction represents an electronic execution of a multi Leg order traded against single leg orders/quotes.  
135,STOCK_OPTIONS_AUCTION,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg stock/options order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure period in a complex order book. Such auctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism.  
136,ML_AUCTION_AGSL,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure period and trades against single leg orders/ quotes. Such auctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism.  
137,ML_FLOOR_TRADE_AGSL,false,false,false,false,true,true,true,true,Transaction represents a non-electronic multi leg order trade executed on a trading floor against single leg orders/ quotes. Execution of Paired and Non-Paired Auctions on an exchange floor are also included in this category.  
138,STK_OPT_AUTO_ELEC_TRADE,false,false,false,false,true,true,true,true,Transaction represents an electronic execution of a multi leg stock/options order traded in a complex order book.  
139,STOCK_OPTIONS_CROSS,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg stock/options order which was "stopped" at a price and traded in a two sided crossing mechanism that does not go through an exposure period. Such crossing mechanisms include and not limited to Customer to Customer Cross.  
140,STOCK_OPTIONS_FLOOR_TRADE,false,false,false,false,true,true,true,true,Transaction represents a non-electronic multi leg order stock/options trade executed on a trading floor in a Complex order book. Execution of Paired and Non-Paired Auctions and Cross orders on an exchange floor are also included in this category.  
141,STK_OPT_AE_TRD_AGSL,false,false,false,false,true,true,true,true,Transaction represents an electronic execution of a multi Leg stock/options order traded against single leg orders/quotes.  
142,STK_OPT_AUCTION_AGSL,false,false,false,false,true,true,true,true,Transaction was the execution of an electronic multi leg stock/options order which was "stopped" at a price and traded in a two sided auction mechanism that goes through an exposure periodand trades against single leg orders/ quotes. Such auctions mechanisms include and not limited to Price Improvement, Facilitation or Solicitation Mechanism.
143,STK_OPT_FLOOR_TRADE_AGSL,false,false,false,false,true,true,true,true,Transaction represents a non-electronic multi leg stock/options order trade executed on a trading floor against single leg orders/ quotes. Execution of Paired and Non-Paired Auctions on an exchange floor are also included in this category.  
144,ML_FLOOR_TRADE_OF_PP,false,false,false,false,true,true,true,true,Transaction represents execution of a proprietary product non-electronic multi leg order with at least 3 legs. The trade price may be outside the current NBBO.  
145,BID_AGGRESSOR,false,false,false,false,true,true,true,true,Aggressor of the trade is on the buy side.  
146,ASK_AGGRESSOR,false,false,false,false,true,true,true,true,Aggressor of the trade is on the sell side.  
147,MULTILAT_COMP_TR_PDP,false,false,false,false,true,false,false,false,Transaction represents an execution in a proprietary product done as part of a multilateral compression. Trades are executed outside of regular trading hours at prices derived from end of day markets.
148,EXTENDED_HOURS_TRADE,false,false,false,false,true,false,false,false,Transaction represents a trade that was executed outside of regular market hours.        
